rating,score
Approved,3.4
G,6.563063063063063
NC-17,6.658333333333334
Not Rated,6.8999999999999995
PG,6.2168316831683175
PG-13,6.29364161849711
R,6.499422410473623
TV-MA,6.85
Unrated,6.8
X,7.3
