genre,score
Action,6.247212420606916
Adventure,6.268195718654433
Animation,6.69568345323741
Biography,7.084935897435898
Comedy,6.190708556149732
Crime,6.69025
Drama,6.723590333716916
Family,6.675
Fantasy,6.004761904761905
Horror,5.8251968503937
Mystery,6.670588235294118
Romance,6.58
Sci-Fi,6.3500000000000005
Thriller,5.928571428571429
Western,5.95
