rating,ROI
Approved,4.625427692307692
G,3.184494361101749
NC-17,1.8680867365410052
Not Rated,2.102000386894959
PG,2.457702758579136
PG-13,2.3191524551065594
R,9.347325291780935
TV-MA,6.299153416666667
Unrated,2.8301152706571715
X,0.010961647058823529
